Forecast date,ID_1,ID_2,ID_4,ID_5,ID_7,ID_15,ID_16,ID_20,ID_24,ID_26,ID_29,ID_31,ID_36,ID_37,ID_39,ID_42,ID_48,ID_52,ID_54,ID_85,ID_89,ID_94,ID_95,Actual,Date of forecast
2009.750000,-2.000000,-2.252170,-1.500000,-2.500000,-3.900000,-2.600000,-3.000000,-2.800000,0.500000,-4.800000,0.200000,1.000000,-1.657822,-2.300000,-2.000000,-2.000000,-1.517976,-3.000000,-1.800000,-2.000000,-1.552938,-2.300000,-1.800000,-2.400000,2009.250000
2010.000000,-0.200000,-0.514006,-0.251035,-0.600651,-1.400000,-1.000000,-0.800000,-1.000000,-0.443898,-1.404768,0.300000,1.500000,-0.306212,0.400000,-0.600000,-0.200000,-1.200000,-0.200000,-0.300000,-0.600000,-0.900000,-1.000000,-0.220000,1.000000,2009.500000
2010.250000,0.200000,0.998730,2.600000,1.200000,1.000000,1.000000,0.800000,1.100000,1.023241,0.687305,0.800000,0.500000,1.071379,0.900000,1.100000,1.400000,1.000000,1.100000,1.000000,0.968665,0.700000,0.200000,1.862486,2.200000,2009.750000
2010.500000,1.000000,1.500000,1.800000,1.147722,1.400000,1.000000,1.000000,1.100000,1.300000,0.200000,0.900000,0.900000,1.300000,1.100000,0.900000,1.600000,0.200000,1.400000,1.100000,0.400000,1.200000,1.000000,1.609200,2.400000,2010.000000
2010.750000,1.500000,1.500000,1.900000,1.800000,1.400000,1.300000,1.300000,1.425081,0.900000,1.110427,1.700000,2.200000,1.600000,1.200000,1.300000,1.400000,1.100000,1.000000,1.300000,1.180350,1.400000,1.000000,1.609200,2.400000,2010.250000
2011.000000,1.372198,1.372198,2.100000,1.400000,0.800000,1.500000,1.600000,1.700000,1.000000,1.235997,1.500000,1.000000,1.000000,1.500000,1.700000,1.337236,1.300000,1.200000,1.400000,0.900000,1.600000,0.700000,1.643400,2.900000,2010.500000
2011.250000,1.000000,2.000000,1.300000,2.000000,1.400000,1.500000,1.500000,1.800000,1.300000,2.100000,1.400000,0.800000,1.354905,1.700000,1.600000,1.400000,1.600000,1.100000,2.100000,1.100000,1.400000,1.000000,1.356804,1.900000,2010.750000
2011.500000,1.313685,1.663301,1.400000,1.600000,1.100000,1.500000,1.500000,1.900000,0.900000,2.000000,1.300000,1.600000,2.100000,1.200000,1.600000,1.500000,1.500000,1.500000,1.698263,1.500000,1.400000,1.100000,1.397221,1.400000,2011.000000
2011.750000,1.510970,1.900000,1.600000,1.700000,1.400000,1.600000,1.500000,1.900000,1.100000,1.200000,1.700000,1.600000,1.785878,1.500000,1.800000,1.500000,1.300000,1.600000,1.700000,1.576109,1.400000,1.500000,1.881353,0.500000,2011.250000
2012.000000,1.467491,1.603502,1.700000,2.300000,1.200000,1.600000,1.600000,1.800000,1.300000,1.000000,1.900000,1.000000,1.563603,1.100000,1.568540,1.400000,1.300000,1.400000,2.000000,1.300000,1.700000,0.700000,1.968250,-0.500000,2011.500000
